ms,sm_util_pct,mem_util_pct,cpu_util_pct,vram_used_mb,pcie_rx_kbs,pcie_tx_kbs
103.524,0,0,0.0,0.000,0,0
155.016,0,0,0.0,0.000,0,0
206.399,0,0,0.3,0.000,0,0
257.778,0,0,3.5,0.000,0,0
309.204,0,0,0.5,0.000,0,0
361.072,0,0,1.8,0.000,0,0
412.790,0,0,0.0,0.000,0,0
464.108,0,0,1.4,0.000,0,0
515.527,0,0,0.8,0.000,0,0
566.772,0,0,0.8,0.000,0,0
618.197,0,0,0.8,0.000,0,0
669.415,0,0,0.9,0.000,0,0
720.673,0,0,0.8,0.000,0,0
772.058,0,0,0.9,0.000,0,0
823.196,0,0,1.1,0.000,0,0
874.511,0,0,1.1,0.000,0,0
925.817,0,0,0.8,0.000,0,0
977.126,0,0,0.8,0.000,0,0
1028.356,0,0,1.1,0.000,0,0
1079.749,0,0,0.9,0.000,0,0
1130.897,0,0,0.8,0.000,0,0
1182.209,0,0,0.8,0.000,0,0
1233.468,0,0,0.9,0.000,0,0
1284.752,0,0,0.8,0.000,0,0
1336.054,0,0,0.8,0.000,0,0
1387.340,0,0,0.9,0.000,0,0
1438.725,0,0,0.8,0.000,0,0
1489.995,0,0,0.8,0.000,0,0
1541.244,0,0,0.8,0.000,0,0
1592.552,0,0,0.8,0.000,0,0
1643.926,0,0,1.0,0.000,0,0
1695.258,0,0,1.1,0.000,0,0
1746.571,0,0,1.0,0.000,0,0
1797.879,0,0,1.0,0.000,0,0
1849.240,0,0,0.8,0.000,0,0
1900.589,0,0,0.9,0.000,0,0
1951.829,0,0,0.8,0.000,0,0
2003.145,0,0,0.8,0.000,0,0
2054.506,0,0,0.8,0.000,0,0
2105.801,0,0,0.9,0.000,0,0
2157.113,0,0,0.9,0.000,0,0
2208.230,0,0,0.9,0.000,0,0
2259.502,0,0,1.5,0.000,0,0
2310.915,0,0,1.2,0.000,0,0
2362.346,0,0,1.0,0.000,0,0
2413.559,0,0,0.9,0.000,0,0
2464.804,0,0,0.9,0.000,0,0
2516.125,0,0,0.8,0.000,0,0
2567.639,0,0,0.8,0.000,0,0
2618.916,0,0,0.8,0.000,0,0
2670.198,0,0,0.8,0.000,0,0
2721.494,0,0,0.9,0.000,0,0
2772.867,0,0,0.8,0.000,0,0
2824.212,0,0,0.8,0.000,0,0
2875.471,0,0,0.8,0.000,0,0
2926.829,0,0,0.8,0.000,0,0
2978.186,0,0,0.8,0.000,0,0
3029.479,0,0,0.9,0.000,0,0
3080.827,0,0,0.8,0.000,0,0
3132.138,0,0,0.8,0.000,0,0
3183.515,0,0,1.1,0.000,0,0
3234.839,0,0,1.0,0.000,0,0
3286.232,0,0,0.8,0.000,0,0
3337.518,0,0,1.1,0.000,0,0
3388.778,0,0,0.9,0.000,0,0
3440.152,0,0,0.8,0.000,0,0
3491.427,0,0,0.8,0.000,0,0
3542.744,0,0,0.8,0.000,0,0
3594.109,0,0,0.8,0.000,0,0
3645.381,0,0,0.9,0.000,0,0
3696.692,0,0,0.8,0.000,0,0
3748.033,0,0,0.8,0.000,0,0
3799.287,0,0,0.8,0.000,0,0
3850.639,0,0,0.8,0.000,0,0
3901.943,0,0,0.9,0.000,0,0
3953.284,0,0,0.8,0.000,0,0
4004.604,0,0,0.8,0.000,0,0
4055.872,0,0,0.8,0.000,0,0
4107.151,0,0,0.9,0.000,0,0
4158.436,0,0,0.8,0.000,0,0
4209.793,0,0,0.8,0.000,0,0
4261.074,0,0,0.8,0.000,0,0
4312.368,0,0,0.8,0.000,0,0
4363.683,0,0,0.8,0.000,0,0
4415.014,0,0,0.8,0.000,0,0
4466.364,0,0,0.8,0.000,0,0
4517.529,0,0,1.1,0.000,0,0
4568.806,0,0,0.9,0.000,0,0
4620.028,0,0,0.8,0.000,0,0
4671.317,0,0,0.8,0.000,0,0
4722.616,0,0,0.8,0.000,0,0
4773.975,0,0,0.8,0.000,0,0
4825.249,0,0,0.6,0.000,0,0
4876.546,0,0,0.9,0.000,0,0
4927.846,0,0,0.9,0.000,0,0
4979.161,0,0,0.8,0.000,0,0
5030.515,0,0,0.8,0.000,0,0
5081.783,0,0,0.9,0.000,0,0
5133.167,0,0,0.8,0.000,0,0
5184.445,0,0,0.9,0.000,0,0
5235.724,0,0,0.9,0.000,0,0
5287.028,0,0,0.9,0.000,0,0
5338.338,0,0,1.1,0.000,0,0
5389.651,0,0,1.1,0.000,0,0
5440.908,0,0,1.0,0.000,0,0
5492.230,0,0,0.9,0.000,0,0
5543.535,0,0,0.8,0.000,0,0
5594.792,0,0,0.8,0.000,0,0
5646.072,0,0,0.8,0.000,0,0
5697.355,0,0,0.8,0.000,0,0
5748.559,0,0,0.9,0.000,0,0
5799.767,0,0,0.8,0.000,0,0
5851.008,0,0,0.8,0.000,0,0
5902.417,0,0,0.8,0.000,0,0
5953.726,0,0,0.9,0.000,0,0
6004.959,0,0,0.8,0.000,0,0
6056.234,0,0,0.9,0.000,0,0
6107.470,0,0,1.0,0.000,0,0
6158.677,0,0,0.9,0.000,0,0
6209.905,0,0,1.0,0.000,0,0
6261.167,0,0,0.8,0.000,0,0
6312.453,0,0,0.9,0.000,0,0
