ms,sm_util_pct,mem_util_pct,cpu_util_pct,vram_used_mb,pcie_rx_kbs,pcie_tx_kbs
17303.203,9,1,1.7,8570.798,399600,23750
17394.298,9,1,2.0,8570.798,578650,24000
17485.512,9,1,1.8,8570.798,10950,89150
17576.719,12,1,1.7,8570.798,216250,5150
17667.981,12,1,1.8,8570.798,194750,24600
17759.160,10,1,1.5,8570.798,17950,25800
17850.184,10,1,1.7,8570.798,11000,25400
17941.350,8,1,2.0,8570.798,577050,4550
18032.376,8,1,1.8,8570.798,587550,25850
18123.598,15,1,1.8,8570.798,11200,47500
18214.655,15,1,2.0,8570.798,31800,4700
18306.412,13,1,2.2,8570.798,9800,51300
18397.421,13,1,1.9,8570.798,31050,50800
18609.480,11,1,2.4,8570.798,48350,50
18721.041,10,1,6.5,8570.798,50,22450
18812.230,0,0,3.4,8570.798,2000,21400
18903.309,0,0,3.2,8570.798,3550,1650
18994.397,4,0,5.1,8570.798,700,400
19085.581,3,0,1.5,8570.798,465500,129750
19176.721,3,0,1.6,8570.798,205850,25700
19267.900,15,1,1.4,8570.798,194650,26300
19358.854,15,1,1.6,8570.798,397900,46000
19450.414,9,1,1.5,8570.798,212650,4800
19541.517,9,1,1.6,8570.798,460650,24550
19632.881,11,1,2.8,8570.798,96850,24650
19724.312,11,1,1.6,8570.798,336450,46400
19815.764,12,1,1.5,8570.798,303300,1700
19907.225,12,1,1.7,8570.798,204100,2500
19998.631,10,1,1.5,8570.798,413050,33550
20090.333,12,1,1.8,8570.798,393600,50350
20181.672,12,1,2.1,8570.798,21200,39650
20273.133,13,1,2.5,8570.798,386150,3150
20364.609,13,1,1.9,8570.798,207950,5550
20455.906,9,1,2.4,8570.798,402050,7900
20547.404,9,1,2.6,8570.798,11950,13600
20658.718,10,1,3.3,8570.798,12300,11000
20750.226,8,1,5.1,8570.798,17450,50600
20842.402,8,1,38.6,8570.798,50,13450
21074.562,5,0,12.0,8570.798,50,50
21206.375,0,0,4.9,8570.798,50,125050
21398.489,0,0,2.2,8570.798,50,100
21651.207,1,0,23.1,8570.798,1250,50
21886.894,0,0,10.1,8570.798,50,50
22038.708,0,0,1.4,8570.798,50,50
22170.406,0,0,1.2,8570.798,50,50
22322.215,0,0,1.1,8570.798,50,50
22555.792,0,0,1.3,8570.798,50,150
22748.140,0,0,1.1,8570.798,50,50
22880.211,0,0,5.9,8570.798,50,50
23273.797,0,0,1.0,8570.798,50,50
23486.784,0,0,0.9,8570.798,50,50
23699.063,0,0,0.7,8570.798,1250,50
23892.557,0,0,3.6,8570.798,50,50
24064.882,0,0,0.6,8570.798,50,100
24358.848,0,0,0.0,8570.798,50,50
24612.154,0,0,0.0,8570.798,50,150
24764.853,0,0,0.1,8570.798,50,50
24917.273,0,0,0.1,8570.798,50,50
25231.792,0,0,0.1,8570.798,50,50
25383.582,0,0,0.1,8570.798,50,50
25555.702,0,0,0.1,8570.798,50,17000
25647.258,2,0,1.0,8570.798,418750,1019750
25738.375,2,0,4.4,8570.798,766100,2241450
25829.796,33,1,7.7,8570.798,1327600,937650
25921.303,33,1,4.6,8570.798,472400,1123050
26012.665,38,1,4.0,8570.798,104300,597400
26103.895,32,0,4.8,8570.798,224100,337650
26196.202,32,0,1.5,8570.798,140500,1541700
26288.119,33,1,3.8,8570.798,2343050,456800
26379.800,33,1,5.2,8570.798,191100,1647350
26552.006,22,1,11.8,8570.798,50,50
26703.753,3,0,9.0,8570.798,1300,50
27118.382,0,0,7.1,8570.798,50,22500
27209.790,0,0,9.3,8570.798,204050,400
27300.855,4,0,9.8,8570.798,384300,1200
27391.929,4,0,1.7,8570.798,3650,23500
27483.462,3,0,1.7,8570.798,565600,422600
27574.690,3,0,1.8,8570.798,6700,67050
27665.956,15,2,1.6,8570.798,779350,23950
27757.420,15,2,6.9,8570.798,14000,26500
27848.834,14,2,1.8,8570.798,210200,4100
27941.028,14,2,6.1,8570.798,401100,25900
28032.375,12,1,1.7,8570.798,537300,3400
28123.636,11,1,1.9,8570.798,575350,25350
28214.984,11,1,1.7,8570.798,208900,18600
28306.173,12,1,1.8,8570.798,203300,26200
28397.436,12,1,1.7,8570.798,208350,6600
28488.961,13,1,1.9,8570.798,211500,4250
28580.365,13,1,1.7,8570.798,198950,3400
28671.554,11,1,1.9,8570.798,207650,5000
28763.762,11,1,1.8,8570.798,213550,7750
28855.094,12,1,2.0,8570.798,28950,8600
29107.714,12,1,2.0,8570.798,194300,1250
29199.149,0,0,9.0,8570.798,194300,2300
29290.574,5,0,2.1,8570.798,770750,65950
29382.064,5,0,2.4,8570.798,967050,24150
29473.497,11,1,4.4,8570.798,11850,6300
29565.532,11,1,4.6,8570.798,6550,22800
29656.886,8,1,4.6,8570.798,773350,67950
29748.165,8,1,2.0,8570.798,25000,24550
29839.497,15,1,1.7,8570.798,6550,4250
29930.926,15,1,1.6,8570.798,200450,1700
30022.121,8,1,1.5,8570.798,497900,92150
30113.503,8,1,1.6,8570.798,1030700,75600
30204.930,9,1,2.1,8570.798,24350,83400
30296.443,17,2,2.0,8570.798,73650,8500
30387.996,17,2,2.5,8570.798,12950,58200
30479.422,16,2,2.0,8570.798,21700,32750
30570.704,16,2,2.3,8570.798,86650,32350
30662.219,11,1,2.6,8570.798,200100,10550
30753.786,11,1,2.8,8570.798,12400,24600
30845.103,12,1,4.4,8570.798,33600,21050
30936.605,12,1,5.8,8570.798,17200,35550
31230.589,12,1,10.1,8570.798,50,191200
31463.173,1,0,3.6,8570.798,50,50
31574.874,0,0,2.6,8570.798,50,50
31767.262,0,0,1.5,8570.798,50,50
32060.344,0,0,1.3,8570.798,50,50
32274.019,0,0,2.8,8570.798,50,50
32587.080,0,0,3.5,8570.798,50,50
32799.459,0,0,3.4,8570.798,50,250
33132.585,0,0,0.9,8570.798,50,0
33264.300,0,0,0.9,8570.798,164800,1283850
33355.672,4,0,1.8,8570.798,1073750,712250
33447.706,4,0,4.4,8570.798,825650,553600
33539.345,31,1,3.4,8570.798,67000,2623900
33631.166,31,1,4.5,8570.798,1557000,426000
33722.896,40,1,25.9,8570.798,65900,185000
33814.395,27,1,3.3,8570.798,88450,693250
33905.830,27,1,3.8,8570.798,135350,1381700
33997.473,33,0,3.6,8570.798,1488800,373750
34089.205,33,0,4.8,8570.798,17150,1186750
34422.629,28,1,11.8,8570.798,50,0
34514.038,0,0,8.8,8570.798,6000,900
34605.231,0,0,2.4,8570.798,3350,1200
34696.604,4,0,2.0,8570.798,700,131400
34787.900,4,0,1.5,8570.798,987750,74150
34879.110,7,1,5.6,8570.798,29000,26650
34970.442,7,1,2.3,8570.798,203950,3800
35061.814,16,1,4.5,8570.798,200550,45600
35153.181,9,1,1.9,8570.798,11700,68800
35244.561,9,1,1.9,8570.798,11400,2800
35335.607,10,1,1.4,8570.798,214900,24650
35426.833,10,1,1.9,8570.798,404850,24750
35518.082,13,1,2.0,8570.798,211750,48950
35609.428,13,1,1.9,8570.798,393950,28000
35700.914,12,1,1.8,8570.798,13350,25950
35791.988,12,1,2.0,8570.798,11800,148050
35883.192,10,1,2.0,8570.798,392000,48850
35974.486,14,2,2.0,8570.798,454850,3750
36065.855,14,2,3.0,8570.798,204550,7350
36157.059,14,2,3.3,8570.798,224150,8800
36268.760,14,2,3.3,8570.798,50,100
36380.423,11,1,8.0,8570.798,50,22450
36491.978,11,1,3.6,8570.798,1000,43300
36583.501,1,0,2.7,8570.798,2300,900
36674.811,3,0,3.2,8570.798,193850,400
36766.102,3,0,1.5,8570.798,1727800,219650
36857.310,7,0,1.7,8570.798,574300,23600
36948.603,7,0,1.8,8570.798,397400,5000
37039.805,17,2,1.5,8570.798,13600,48300
37131.244,17,2,2.0,8570.798,207200,20200
37222.508,10,1,2.9,8570.798,22200,45800
37313.694,8,1,1.8,8570.798,80550,80500
37405.031,8,1,1.7,8570.798,13550,59050
37496.348,13,1,2.0,8570.798,408600,48700
37587.522,13,1,2.0,8570.798,439800,7650
37678.631,17,2,2.1,8570.798,202200,7000
37769.913,17,2,1.9,8570.798,16500,6950
37860.961,9,1,2.0,8570.798,204500,20450
37952.414,9,1,2.4,8570.798,10150,29250
38043.704,10,1,2.4,8570.798,198100,52800
38135.169,10,1,3.3,8570.798,29900,32850
38226.335,13,1,3.9,8570.798,26350,18800
38317.816,13,1,4.9,8570.798,3200,63350
38489.954,11,1,8.8,8570.798,227450,122650
38601.671,3,0,3.0,8570.798,50,50
38753.728,1,0,6.1,8570.798,50,50
38946.063,0,0,4.5,8570.798,50,350
39138.291,0,0,2.5,8570.798,50,50
39572.150,0,0,1.2,8570.798,50,0
39663.585,0,0,1.1,8570.798,50,50
39977.615,0,0,1.3,8570.798,0,200
40290.761,0,0,1.1,8570.798,50,50
40603.858,0,0,0.8,8570.798,0,50
40997.989,0,0,1.3,8570.798,50,150
